"ALL GROUPS","ALL GROUPS"
"You need to enter quantity for your item.","You need to enter quantity for your item."
"We can't find the product.","We can't find the product."
"Old Price","Old Price"
Price,Price
Qty,Qty
"Available Qty","Available Qty"
"In Stock","In Stock"
"Out of stock","Out of stock"
"Reset All","Reset All"
"View more","View more"
"View less","View less"
"Product Matrix","Product Matrix"
"<span class=""mgz-logo"">Magezon Extensions</span>","<span class=""mgz-logo"">Magezon Extensions</span>"
"General Settings","General Settings"
"Current Version","Current Version"
"Enable Product Matrix","Enable Product Matrix"
"Display Old Price","Display Old Price"
"Display Avaiable Qty","Display Avaiable Qty"
"Display Reset Button","Display Reset Button"
"Display View More Button","Display View More Button"
"Enable for Customer Groups","Enable for Customer Groups"
